#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
   92    92     0     0  8.58651e+00  1.44592e-02  2.35170e-01    62
   92    92     0     0  6.72991e+00  9.54173e-03  2.19118e-01    78
   92    92     0     0  5.82843e+00  6.46694e-03 -1.91561e-01    48
   92    91     0     1  4.74127e+00  3.73594e-03  1.71047e-01    62
   92    90     0     2  4.25127e+00  3.36361e-03 -1.65726e-01    48
   92    90     0     2  3.60509e+00  1.74694e-03  1.33356e-01    33
   92    90     0     2  3.21312e+00  1.12373e-03  1.24410e-01    33
   92    90     0     2  2.98781e+00  1.74775e-03  1.12725e-01    33
   92    90     0     2  2.82795e+00  7.49438e-04 -1.04615e-01    67
   92    90     0     2  2.79945e+00  8.74234e-04  9.55557e-02    45
   92    90     0     2  2.59176e+00  6.24609e-04  8.89533e-02    45
   92    90     0     2  2.61386e+00  6.24609e-04 -7.50105e-02    67
   92    90     0     2  2.74410e+00  1.24844e-03  7.41338e-02    54
   92    90     0     2  2.71205e+00  1.24844e-03  5.21785e-02    88
   92    90     0     2  2.70688e+00  9.99000e-04  5.51577e-02    62
   92    90     0     2  2.81279e+00  4.99750e-04  4.75529e-02    62
   92    90     0     2  2.82025e+00  1.12373e-03 -5.37304e-02    47
   92    90     0     2  2.63617e+00  9.99000e-04 -4.28944e-02    47
   92    90     0     2  2.88998e+00  9.99000e-04  3.59359e-02    62
   92    90     0     2  3.02476e+00  2.99494e-03  3.73096e-02    62
   92    90     0     2  3.04746e+00  1.74694e-03 -3.64718e-02    47
   92    90     0     2  3.00612e+00  1.37311e-03 -3.27604e-02    47
   92    90     0     2  3.18774e+00  2.12048e-03 -3.29290e-02    47
   92    90     0     2  3.10298e+00  1.62311e-03 -2.91910e-02    47
   92    90     0     2  3.23636e+00  2.12048e-03 -3.65539e-02    47
   92    90     0     2  3.07094e+00  1.62236e-03 -3.87842e-02    37
   92    90     0     2  3.12933e+00  2.12048e-03 -2.93872e-02    47
   92    90     0     2  3.33516e+00  2.99100e-03 -3.54770e-02    47
   92    90     0     2  3.54362e+00  2.74375e-03 -2.57129e-02    31
   92    90     0     2  3.30411e+00  2.12048e-03 -2.11653e-02    47
   92    90     0     2  3.27545e+00  1.87148e-03 -2.26976e-02    47
   92    90     0     2  3.40210e+00  2.49375e-03  2.59526e-02    55
   92    90     0     2  3.30617e+00  1.87148e-03 -2.43827e-02    47
   92    90     0     2  3.73832e+00  2.12048e-03 -1.69830e-02    47
   92    90     0     2  4.09183e+00  2.99100e-03  1.47767e-02    55
   92    90     0     2  4.92260e+00  2.24494e-03 -1.54435e-02    47
   92    90     0     2  4.58909e+00  3.61523e-03 -1.57578e-02    47
   92    90     0     2  4.79652e+00  2.74244e-03  1.41049e-02    55
   92    90     0     2  9.20248e+00  1.99600e-03  1.34504e-02    73
   92    90     0     2  7.27468e+00  2.24494e-03  1.04525e-02    55
   92    90     0     2  7.49212e+00  2.49375e-03  1.22660e-02    55
   92    90     0     2  7.51880e+00  2.12048e-03 -8.44077e-03    80
   92    90     0     2  9.39347e+00  2.61811e-03  9.47155e-03    45
   92    90     0     2  1.29669e+01  2.99244e-03 -1.23011e-02    31
   92    90     0     2  1.86455e+01  2.36936e-03  1.08145e-02    45
   92    90     0     2  1.12885e+01  2.74375e-03 -8.00090e-03    47
   92    90     0     2  1.28258e+01  2.49494e-03  1.08516e-02    25
   92    90     0     2  1.68003e+01  1.87148e-03 -1.09070e-02    65
   92    90     0     2  1.70050e+01  2.49600e-03 -6.22960e-03    30
   92    90     0     2  1.46875e+01  2.74244e-03  5.68687e-03    16
   92    90     0     2  1.92855e+01  1.87148e-03 -6.91454e-03    65
   92    90     0     2  2.27218e+01  1.62236e-03 -7.08532e-03    65
   92    90     0     2  2.74354e+01  1.49775e-03  8.01188e-03    16
   92    90     0     2  2.19725e+01  2.86673e-03 -1.07549e-02    16
   92    90     0     2  2.73646e+01  1.74694e-03 -5.81003e-03    25
   92    90     0     2  3.46960e+01  2.86811e-03  1.04810e-02    24
   92    90     0     2  3.68567e+01  1.62236e-03 -7.74644e-03    24
