#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
  392   392   392     0  3.27319e-01  0.00000e+00  2.50064e-01   574
  392   392   392     0  2.88711e-01  0.00000e+00  2.61375e-01   574
  392   392   392     0  2.27696e-01  0.00000e+00 -2.48449e-01   286
  392   392   392     0  1.96775e-01  0.00000e+00 -2.72015e-01   286
  392   392   392     0  1.76559e-01  0.00000e+00  2.21483e-01   768
  392   392   392     0  1.73271e-01  0.00000e+00 -2.15202e-01   554
  392   392   392     0  1.62384e-01  0.00000e+00 -2.20656e-01   342
  392   392   392     0  1.56364e-01  0.00000e+00 -1.90804e-01   642
  392   392   392     0  1.64736e-01  0.00000e+00  2.00205e-01   386
  392   392   392     0  3.70885e-01  0.00000e+00 -1.44979e-01   458
  392   392   392     0  1.50775e-01  0.00000e+00  2.00647e-01   440
  392   392   392     0  3.10691e-01  0.00000e+00 -1.89107e-01   570
  392   392   392     0  2.16524e-01  0.00000e+00 -1.49793e-01   578
