#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
  392   392   392     0  3.76444e-01  0.00000e+00  3.88285e-01   272
  392   392   392     0  3.31119e-01  0.00000e+00  3.54693e-01   662
  392   392   392     0  2.94775e-01  0.00000e+00  3.21108e-01   462
  392   392   392     0  2.63839e-01  0.00000e+00  2.92737e-01   462
  392   392   392     0  2.45500e-01  0.00000e+00  2.79008e-01   462
  392   392   392     0  2.35616e-01  0.00000e+00  2.49503e-01   748
  392   392   392     0  2.32444e-01  0.00000e+00  2.25480e-01   748
  392   392   392     0  2.12624e-01  0.00000e+00  2.56296e-01   408
  392   392   392     0  2.23975e-01  0.00000e+00  1.54296e-01   748
  392   392   392     0  2.15111e-01  0.00000e+00  1.33270e-01   326
  392   392   392     0  2.17839e-01  0.00000e+00  1.43539e-01   462
  392   392   392     0  2.23036e-01  0.00000e+00 -1.33080e-01   556
  392   392   392     0  2.37100e-01  0.00000e+00 -1.41737e-01   770
  392   392   392     0  2.22799e-01  0.00000e+00 -1.12040e-01   344
  392   392   392     0  2.27119e-01  0.00000e+00 -1.25941e-01   442
  392   392   392     0  2.40431e-01  0.00000e+00 -1.09611e-01   568
  392   392   392     0  2.35671e-01  0.00000e+00  9.44473e-02   418
  392   392   392     0  2.38839e-01  0.00000e+00 -1.18803e-01   770
  392   392   392     0  2.28256e-01  0.00000e+00  1.02555e-01   292
  392   392   392     0  2.18044e-01  0.00000e+00  1.16229e-01   578
  392   392   392     0  2.28799e-01  0.00000e+00  1.22471e-01   418
  392   392   392     0  2.29759e-01  0.00000e+00  1.17528e-01   418
  392   392   392     0  2.26400e-01  0.00000e+00  1.06414e-01   418
  392   392   392     0  2.16351e-01  0.00000e+00  1.09796e-01   418
  392   392   392     0  2.24400e-01  0.00000e+00  8.24306e-02   546
  392   392   392     0  2.32359e-01  0.00000e+00 -9.99796e-02   688
  392   392   392     0  2.22764e-01  0.00000e+00  1.29945e-01   410
