#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
  104     4   104   100  1.86563e+52  0.00000e+00 -1.57899e-16   142
  104    64   104    40  1.48462e+38  0.00000e+00  1.21808e-02    98
  104    64   104    40  1.30817e+04  0.00000e+00  8.65640e-04   166
  104    64   104    40  1.02646e+04  0.00000e+00  8.67453e-04   166
  104    64   104    40  1.08955e+04  0.00000e+00  1.06444e-03   186
  104    64   104    40  1.09836e+04  0.00000e+00  1.13063e-03   190
  104    64   104    40  1.32839e+04  0.00000e+00  1.04024e-03   190
  104    64   104    40  1.63608e+04  0.00000e+00  1.09115e-03   190
  104    64   104    40  2.31873e+04  0.00000e+00  6.24958e-04   190
  104    64   104    40  2.60493e+04  0.00000e+00  4.66360e-04   190
  104    64   104    40  2.89337e+04  0.00000e+00 -2.75531e-04   184
  104    64   104    40  2.61940e+04  0.00000e+00  3.00092e-04   190
  104    64   104    40  2.40767e+04  0.00000e+00  3.96402e-04   190
  104    64   104    40  2.76881e+04  0.00000e+00  3.57781e-04   188
  104    64   104    40  2.45963e+04  0.00000e+00  3.11612e-04   188
  104    64   104    40  1.56853e+04  0.00000e+00  2.50918e-04   130
  104    64   104    40  1.45310e+04  0.00000e+00  2.25547e-04   200
  104    64   104    40  1.35000e+04  0.00000e+00  2.08509e-04   188
  104    64   104    40  1.38627e+04  0.00000e+00  2.00994e-04    86
  104    64   104    40  8.89894e+03  0.00000e+00  1.94682e-04   104
  104    64   104    40  1.15073e+04  0.00000e+00 -1.48956e-04   184
  104    64   104    40  1.11121e+04  0.00000e+00  2.37344e-04    86
  104    64   104    40  1.16321e+04  0.00000e+00  2.85589e-04   104
  104    64   104    40  9.43335e+03  0.00000e+00 -3.42229e-04   182
  104    64   104    40  6.61889e+03  0.00000e+00 -3.33441e-04   182
  104    64   104    40  8.18155e+03  0.00000e+00  3.54050e-04   104
  104    64   104    40  8.19575e+03  0.00000e+00 -2.70626e-04   182
  104    64   104    40  1.16880e+04  0.00000e+00 -3.40976e-04   182
  104    64   104    40  5.79279e+03  0.00000e+00 -3.63867e-04   182
  104    64   104    40  6.35545e+03  0.00000e+00  2.91714e-04   104
  104    64   104    40  6.91715e+03  0.00000e+00  2.63344e-04   194
  104    64   104    40  4.66430e+03  0.00000e+00  4.33191e-04   104
  104    64   104    40  7.02182e+03  0.00000e+00  3.81509e-04   194
  104    64   104    40  5.96057e+03  0.00000e+00  6.24067e-04   104
  104    64   104    40  5.76135e+03  0.00000e+00  2.40306e-04   104
  104    64   104    40  4.34986e+03  0.00000e+00  4.46288e-04   104
  104    64   104    40  4.24634e+03  0.00000e+00  5.57321e-04   104
  104    64   104    40  1.23494e+04  0.00000e+00  7.45860e-04   104
  104    64   104    40  5.23889e+03  0.00000e+00 -4.04755e-04   182
  104    64   104    40  4.26711e+03  0.00000e+00  6.12839e-04   104
  104    64   104    40  3.12460e+03  0.00000e+00 -4.05404e-04    92
  104    64   104    40  3.34305e+03  0.00000e+00  5.40380e-04   104
  104    64   104    40  3.34214e+03  0.00000e+00  6.12372e-04   104
  104    64   104    40  4.23866e+03  0.00000e+00  3.87707e-04   194
  104    64   104    40  4.93006e+03  0.00000e+00 -1.15505e-03    92
  104    64   104    40  3.49081e+03  0.00000e+00  7.19993e-04   104
  104    64   104    40  3.73941e+03  0.00000e+00  7.21598e-04   104
  104    64   104    40  4.13228e+03  0.00000e+00  3.45916e-04   194
  104    64   104    40  3.66607e+03  0.00000e+00  6.36823e-04   104
  104    64   104    40  3.38262e+03  0.00000e+00  4.62658e-04   194
  104    64   104    40  3.61172e+03  0.00000e+00  5.13300e-04   104
  104    64   104    40  3.20438e+03  0.00000e+00  5.29119e-04   104
  104    64   104    40  5.69659e+03  0.00000e+00 -5.12602e-04   182
  104    64   104    40  3.98968e+03  0.00000e+00  4.74364e-04   104
  104    64   104    40  2.53364e+03  0.00000e+00  5.21565e-04   104
