#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
   92   156    28     0  8.87183e+00  0.00000e+00  2.19428e-01   177
   92   156    28     0  7.66978e+00  0.00000e+00  2.07021e-01   177
   92   154    28     2  5.39122e+00  0.00000e+00  1.96444e-01   177
   92   156    28     0  5.53730e+00  0.00000e+00  2.01359e-01    72
   92   156    28     0  4.41566e+00  0.00000e+00  1.74451e-01    72
   92   154    28     2  3.37940e+00  0.00000e+00 -1.76299e-01    58
   92   154    28     2  3.37580e+00  0.00000e+00  1.47415e-01    72
   92   154    28     2  3.20886e+00  0.00000e+00 -1.32005e-01    58
   92   155    28     1  3.03665e+00  0.00000e+00  1.32935e-01    72
   92   154    28     2  2.50778e+00  0.00000e+00  1.21362e-01   175
   92   154    28     2  2.54105e+00  0.00000e+00 -1.03116e-01    62
   92   155    28     1  2.38022e+00  0.00000e+00  1.11684e-01    72
   92   154    28     2  2.68717e+00  0.00000e+00 -1.03295e-01   100
   92   154    28     2  2.39433e+00  0.00000e+00  1.03657e-01   175
   92   154    28     2  2.36317e+00  0.00000e+00  1.22413e-01   175
   92   155    28     1  2.84771e+00  0.00000e+00  1.11124e-01   175
   92   154    28     2  2.89123e+00  0.00000e+00  8.01113e-02   103
   92   154    28     2  3.25866e+00  0.00000e+00  8.77906e-02   144
   92   154    28     2  2.81199e+00  0.00000e+00 -6.79886e-02   113
   92   154    28     2  2.84271e+00  0.00000e+00  6.87568e-02   144
   92   154    28     2  2.68929e+00  0.00000e+00  6.23062e-02   175
   92   155    28     1  3.35753e+00  0.00000e+00  5.16405e-02    73
   92   154    28     2  2.78853e+00  0.00000e+00  4.46566e-02   164
   92   154    28     2  3.07826e+00  0.00000e+00  4.46410e-02   144
   92   154    28     2  3.41386e+00  0.00000e+00  3.34190e-02   103
   92   154    28     2  3.36686e+00  0.00000e+00  3.20302e-02   182
   92   154    28     2  3.57846e+00  0.00000e+00 -3.14998e-02    50
   92   154    28     2  3.02528e+00  0.00000e+00  2.51063e-02    73
   92   155    28     1  3.59580e+00  0.00000e+00  2.67864e-02   144
   92   154    28     2  3.43896e+00  0.00000e+00 -2.44395e-02    69
   92   154    28     2  3.42056e+00  0.00000e+00  2.27913e-02   144
   92   155    28     1  3.64889e+00  0.00000e+00  2.38539e-02    54
   92   154    28     2  3.31964e+00  0.00000e+00  1.71159e-02   144
   92   155    28     1  3.74713e+00  0.00000e+00 -1.88806e-02    54
   92   155    28     1  3.76677e+00  0.00000e+00 -2.84211e-02    50
   92   155    28     1  3.79811e+00  0.00000e+00 -1.32254e-02    50
   92   154    28     2  3.42866e+00  0.00000e+00  1.34641e-02    32
   92   155    28     1  3.64998e+00  0.00000e+00 -1.84304e-02    48
   92   155    28     1  3.48248e+00  0.00000e+00 -2.93280e-02    52
   92   156    28     0  3.73611e+00  0.00000e+00 -4.82825e-02    54
   92   155    28     1  3.52652e+00  0.00000e+00 -1.01424e-02   113
   92   154    28     2  3.55178e+00  0.00000e+00  1.21068e-02   171
   92   155    28     1  4.05568e+00  0.00000e+00  3.65754e-02    52
   92   154    28     2  4.71028e+00  0.00000e+00  1.27641e-02    48
   92   155    28     1  5.02511e+00  0.00000e+00  1.39174e-02    52
   92   154    28     2  4.22575e+00  0.00000e+00 -1.43169e-02    69
   92   154    28     2  5.49794e+00  0.00000e+00 -1.68815e-02    48
   92   154    28     2  5.16334e+00  0.00000e+00  8.85750e-03    30
   92   154    28     2  4.98701e+00  0.00000e+00 -1.82779e-02    32
   92   154    28     2  8.06306e+00  0.00000e+00  1.80868e-02    48
   92   154    28     2  5.87761e+00  0.00000e+00 -1.61628e-02    28
   92   154    28     2  6.59709e+00  0.00000e+00  1.10869e-02    34
   92   154    28     2  6.62579e+00  0.00000e+00 -1.41147e-02    34
   92   154    28     2  1.03478e+01  0.00000e+00 -1.52680e-02    28
   92   154    28     2  6.49598e+00  0.00000e+00  1.76261e-02    34
   92   154    28     2  6.57223e+00  0.00000e+00 -1.24946e-02    50
   92   154    28     2  6.63811e+00  0.00000e+00  1.45649e-02    50
   92   154    28     2  9.40922e+00  0.00000e+00  1.07600e-02    28
   92   154    28     2  8.02912e+00  0.00000e+00 -1.33216e-02    28
   92   154    28     2  7.64445e+00  0.00000e+00  9.19998e-03    32
   92   154    28     2  9.70756e+00  0.00000e+00 -1.20130e-02    50
   92   154    28     2  7.34077e+00  0.00000e+00 -1.16696e-02    30
   92   154    28     2  7.40689e+00  0.00000e+00  1.38306e-02    28
   92   154    28     2  7.27271e+00  0.00000e+00 -9.20264e-03    62
   92   154    28     2  1.05686e+01  0.00000e+00 -2.56069e-02    34
   92   154    28     2  1.20212e+01  0.00000e+00  3.89023e-02    34
   92   154    28     2  1.07814e+01  0.00000e+00 -1.54392e-02    50
   92   154    28     2  8.80867e+00  0.00000e+00 -2.09514e-02    32
   92   154    28     2  1.06111e+01  0.00000e+00 -2.00362e-02    28
   92   154    28     2  1.44402e+01  0.00000e+00 -2.05770e-02    34
   92   154    28     2  1.08133e+01  0.00000e+00  2.49590e-02    30
   92   154    28     2  1.08703e+01  0.00000e+00  1.95471e-02    34
   92   154    28     2  9.62246e+00  0.00000e+00  1.29763e-02    48
   92   154    28     2  1.56508e+01  0.00000e+00  1.27805e-02    50
   92   154    28     2  1.23453e+01  0.00000e+00 -2.60766e-02    34
   92   154    28     2  1.45756e+01  0.00000e+00  1.51608e-02    28
   92   154    28     2  1.58559e+01  0.00000e+00  1.66654e-02    30
   92   154    28     2  1.55881e+01  0.00000e+00  1.49093e-02    32
   92   154    28     2  1.19761e+01  0.00000e+00 -1.32383e-02    50
   92   154    28     2  1.37333e+01  0.00000e+00  2.60526e-02    28
   92   154    28     2  1.52203e+01  0.00000e+00 -2.11671e-02    28
   92   154    28     2  2.10475e+01  0.00000e+00  2.59508e-02    28
   92   154    28     2  1.69480e+01  0.00000e+00 -1.54342e-02    28
   92   154    28     2  1.94919e+01  0.00000e+00 -1.40233e-02    48
   92   154    28     2  1.64453e+01  0.00000e+00  1.78563e-02    48
   92   154    28     2  1.13113e+01  0.00000e+00 -8.77882e-03    30
   92   154    28     2  1.55836e+01  0.00000e+00  1.60180e-02    34
   92   154    28     2  1.49002e+01  0.00000e+00  1.00469e-02    50
   92   154    28     2  1.55091e+01  0.00000e+00  1.66517e-02    30
   92   154    28     2  1.60145e+01  0.00000e+00 -1.19491e-02    34
   92   154    28     2  1.59993e+01  0.00000e+00 -1.47934e-02    50
   92   154    28     2  1.86444e+01  0.00000e+00 -2.10072e-02    30
   92   151    28     5  2.88584e+01  0.00000e+00 -1.15756e-02    34
   92   154    28     2  1.09079e+01  0.00000e+00  1.65878e-02    30
   92   149    28     7  3.66105e+01  0.00000e+00 -9.86128e-03    20
   92   152    28     4  3.43473e+01  0.00000e+00 -2.64705e-02    30
   92   154    28     2  1.86550e+01  0.00000e+00 -2.50907e-02    50
   92   148    28     8  1.13082e+02  0.00000e+00  6.83176e-03    22
   92   154    28     2  1.68698e+01  0.00000e+00  1.92436e-02    32
   92   154    28     2  1.51001e+01  0.00000e+00  1.25870e-02    34
   92   152    28     4  2.35682e+01  0.00000e+00 -1.11287e-02    48
   92   150    28     6  3.83525e+01  0.00000e+00 -8.50631e-03    50
   92   153    28     3  1.96717e+01  0.00000e+00  1.57572e-02    34
   92   154    28     2  1.90737e+01  0.00000e+00 -1.91825e-02    34
   92   154    28     2  1.25245e+01  0.00000e+00 -2.11864e-02    50
   92   154    28     2  9.91333e+00  0.00000e+00  1.90702e-02    48
   92   150    28     6  3.82421e+01  0.00000e+00  1.03783e-02    50
   92   154    28     2  1.68878e+01  0.00000e+00 -1.59685e-02    30
   92   152    28     4  3.14344e+01  0.00000e+00 -1.40394e-02    34
   92   154    28     2  8.79979e+00  0.00000e+00  2.01701e-02    30
   92   149    28     7  3.77562e+01  0.00000e+00  1.25678e-02    44
   92   154    28     2  2.48317e+01  0.00000e+00 -1.84224e-02    32
   92   153    28     3  2.61716e+01  0.00000e+00 -1.57996e-02    30
   92   154    28     2  2.53403e+01  0.00000e+00  2.86643e-02    50
   92   153    28     3  1.94122e+01  0.00000e+00  1.21890e-02    32
   92   153    28     3  1.87681e+01  0.00000e+00 -9.67822e-03    28
   92   154    28     2  1.41396e+01  0.00000e+00 -1.83275e-02    50
   92   154    28     2  1.34604e+01  0.00000e+00  1.88678e-02    50
   92   148    28     8  9.39018e+01  0.00000e+00 -7.20685e-03    24
   92   154    28     2  9.69426e+00  0.00000e+00  1.21241e-02    30
   92   151    28     5  2.90449e+01  0.00000e+00 -2.07048e-02    50
   92   154    28     2  8.80450e+00  0.00000e+00  1.34588e-02    50
   92   152    28     4  2.65239e+01  0.00000e+00  2.39801e-02    48
   92   154    28     2  1.87521e+01  0.00000e+00  1.03480e-02    28
   92   153    28     3  1.91970e+01  0.00000e+00 -1.22983e-02    48
   92   154    28     2  1.28601e+01  0.00000e+00 -2.74550e-02    28
   92   154    28     2  1.35984e+01  0.00000e+00  2.18818e-02    32
   92   154    28     2  1.42729e+01  0.00000e+00 -8.70893e-03    50
   92   148    28     8  5.24674e+01  0.00000e+00  1.21260e-02    44
   92   150    28     6  3.46785e+01  0.00000e+00  1.14818e-02    28
   92   154    28     2  1.40645e+01  0.00000e+00  1.09353e-02    28
   92   154    28     2  1.55959e+01  0.00000e+00 -1.46658e-02    28
   92   154    28     2  1.92276e+01  0.00000e+00  1.51596e-02    50
   92   151    28     5  4.13507e+01  0.00000e+00 -1.51923e-02    50
   92   152    28     4  2.29909e+01  0.00000e+00 -9.30393e-03    32
   92   151    28     5  2.66317e+01  0.00000e+00  5.38672e-03    50
   92   154    28     2  1.08604e+01  0.00000e+00  1.30786e-02    30
   92   154    28     2  1.05748e+01  0.00000e+00 -1.47147e-02    50
   92   154    28     2  1.13558e+01  0.00000e+00 -2.02899e-02    48
   92   154    28     2  1.72967e+01  0.00000e+00 -1.70879e-02    48
   92   154    28     2  1.40335e+01  0.00000e+00 -1.23264e-02    34
   92   154    28     2  1.49826e+01  0.00000e+00 -1.08045e-02    30
   92   148    28     8  3.99356e+01  0.00000e+00 -8.61262e-03    44
   92   154    28     2  9.84630e+00  0.00000e+00  1.22243e-02    34
   92   153    28     3  2.40756e+01  0.00000e+00 -1.70340e-02    28
   92   150    28     6  2.93669e+01  0.00000e+00 -6.95514e-03    48
   92   154    28     2  2.22416e+01  0.00000e+00  1.49782e-02    28
   92   152    28     4  2.30833e+01  0.00000e+00 -8.57685e-03    34
   92   148    28     8  8.15687e+01  0.00000e+00  7.17738e-03    20
   92   154    28     2  1.67268e+01  0.00000e+00  9.07316e-03    50
   92   154    28     2  1.37355e+01  0.00000e+00  6.34583e-03    44
   92   154    28     2  1.99252e+01  0.00000e+00 -1.82202e-02    32
   92   154    28     2  1.57741e+01  0.00000e+00  1.60722e-02    50
   92   151    28     5  2.97067e+01  0.00000e+00  1.88217e-02    28
   92   154    28     2  8.54234e+00  0.00000e+00 -2.25634e-02    28
   92   154    28     2  1.07311e+01  0.00000e+00 -1.35987e-02    48
   92   153    28     3  2.34440e+01  0.00000e+00 -1.27642e-02    34
   92   148    28     8  7.86381e+01  0.00000e+00 -5.76226e-03    26
   92   153    28     3  2.29820e+01  0.00000e+00 -1.42685e-02    34
   92   153    28     3  2.05985e+01  0.00000e+00  1.31644e-02    30
   92   148    28     8  5.13316e+01  0.00000e+00 -4.60680e-03    46
   92   154    28     2  1.85958e+01  0.00000e+00 -1.57160e-02    50
   92   154    28     2  9.25349e+00  0.00000e+00 -1.03713e-02    28
   92   148    28     8  6.71479e+01  0.00000e+00 -9.47390e-03    44
   92   154    28     2  2.18022e+01  0.00000e+00 -1.20965e-02    48
   92   148    28     8  5.25778e+01  0.00000e+00 -9.32202e-03   180
   92   154    28     2  1.11644e+01  0.00000e+00 -1.73848e-02    30
   92   152    28     4  3.44780e+01  0.00000e+00  1.47505e-02    32
   92   148    28     8  4.98701e+01  0.00000e+00 -5.42984e-03     0
   92   152    28     4  2.80544e+01  0.00000e+00  6.52071e-03    50
   92   154    28     2  1.05456e+01  0.00000e+00 -9.56585e-03    34
   92   152    28     4  3.17323e+01  0.00000e+00  9.96192e-03    32
   92   154    28     2  1.62810e+01  0.00000e+00  1.68176e-02    50
   92   153    28     3  1.29985e+01  0.00000e+00 -2.08434e-02    32
   92   154    28     2  1.26528e+01  0.00000e+00  7.65553e-03    32
   92   154    28     2  8.31253e+00  0.00000e+00  1.52684e-02    28
   92   149    28     7  3.38425e+01  0.00000e+00  4.45876e-03    38
   92   148    28     8  4.95773e+01  0.00000e+00  8.66404e-03   161
   92   151    28     5  1.90167e+01  0.00000e+00 -1.08011e-02    34
   92   153    28     3  3.27427e+01  0.00000e+00 -9.62317e-03    48
   92   154    28     2  1.19023e+01  0.00000e+00  9.93764e-03    48
   92   154    28     2  9.82435e+00  0.00000e+00 -6.04586e-03    30
   92   148    28     8  9.30960e+01  0.00000e+00  5.70625e-03    38
   92   154    28     2  8.51584e+00  0.00000e+00  1.01276e-02    50
   92   154    28     2  1.85870e+01  0.00000e+00 -1.48317e-02    34
   92   152    28     4  3.03704e+01  0.00000e+00  1.34455e-02    28
   92   154    28     2  1.58869e+01  0.00000e+00 -1.03075e-02    28
   92   154    28     2  8.74257e+00  0.00000e+00  1.36105e-02    48
   92   152    28     4  2.15326e+01  0.00000e+00 -1.49091e-02    48
   92   148    28     8  4.68378e+01  0.00000e+00  5.45627e-03    46
   92   152    28     4  3.38777e+01  0.00000e+00  8.04424e-03    28
   92   154    28     2  8.09519e+00  0.00000e+00  9.53363e-03    34
   92   154    28     2  1.61898e+01  0.00000e+00 -1.92837e-02    28
   92   154    28     2  8.46707e+00  0.00000e+00 -7.60853e-03    50
   92   153    28     3  1.99239e+01  0.00000e+00 -1.12114e-02    32
   92   154    28     2  1.26879e+01  0.00000e+00  9.59013e-03    30
   92   154    28     2  1.00129e+01  0.00000e+00 -1.17685e-02    50
   92   154    28     2  1.37740e+01  0.00000e+00  1.21225e-02    28
   92   151    28     5  2.17825e+01  0.00000e+00  1.05687e-02    30
   92   154    28     2  1.66317e+01  0.00000e+00 -1.38626e-02    50
   92   154    28     2  1.86144e+01  0.00000e+00 -6.62593e-03    32
   92   153    28     3  1.60809e+01  0.00000e+00  1.36317e-02    34
   92   154    28     2  2.29338e+01  0.00000e+00  1.24791e-02    32
   92   149    28     7  7.25919e+01  0.00000e+00 -8.93655e-03   158
   92   148    28     8  3.76279e+01  0.00000e+00  9.01942e-03    46
   92   148    28     8  5.33368e+01  0.00000e+00  4.44695e-03    36
   92   150    28     6  2.50751e+01  0.00000e+00 -1.79745e-02    48
   92   154    28     2  1.65779e+01  0.00000e+00  1.17761e-02    50
   92   150    28     6  6.06158e+01  0.00000e+00  1.57070e-02    48
